Ano de Lançamento, 1983.. O Ano Azul 
2009, 2012 
2009, 23 Anos Em 7 Segundos: 1977 - O Fim Do Jejum Corinthiano 
2009, 3 Macacos 
2009, 500 Dias Com Ela 
2009, 9 - A Salvação 
2009, À Deriva 
2009, A Era Da Estupidez 
2009, A Era Do Gelo 3 
2009, A Erva Do Rato 
2009, A Festa Da Menina Morta 
2009, A Festa Do Garfield 
2009, A Garota De Mônaco 
2009, A Garota Ideal 
2009, A Ilha Da Morte 
2009, A Janela 
2009, A Montanha Enfeitiçada 
2009, A Morte Inventada - Alienação Parental 
2009, A Mulher Invisível 
2009, A Onda 
2009, A Órfã 
2009, A Pantera Cor De Rosa 2 
2009, A Partida 
2009, A Pedra Mágica 
2009, A Princesa E O Sapo 
2009, A Procura De Eric 
2009, A Proposta 
2009, A Teta Assustada 
2009, A Trilha 
2009, A Troca 
2009, A Verdade Nua E Crua 
2009, A Vida Íntima De Pippa Lee 
2009, A Vida Secreta Das Abelhas 
2009, Abba O Filme 
2009, Abraços Partidos 
2009, Aconteceu Em Woodstock 
2009, Adagio Sostenuto 
2009, Alexandra 
2009, Algo Que Você Precisa Saber 
2009, Alguém Que Me Ame De Verdade 
2009, Alguns Motivos Para Não Se Apaixonar 
2009, Alma Perdida 
2009, Almoço Em Agosto 
2009, Alô, Alô, Terezinha! 
2009, Amantes 
2009, American Teen 
2009, Anabazys 
2009, Anjos Da Noite - A Rebelião 
2009, Anjos E Demônios 
2009, Anticristo 
2009, Apenas O Fim 
2009, Aquele Querido Mês De Agosto 
2009, Arranca-Me A Vida 
2009, Arraste-Me Para O Inferno 
2009, As Cantoras Do Rádio 
2009, As Testemunhas 
2009, Atividade Paranormal 
2009, Atrizes 
2009, Austrália 
2009, Avatar 
2009, Aventuras Do Surf Ii 
2009, Barry & A Banda Das Minhocas 
2009, Bastardos Inglórios 
2009, Batatinha Poeta Do Samba 
2009, Beijo Na Boca, Não! 
2009, Bela Noite Para Voar 
2009, Bem-Vindo 
2009, Besouro 
2009, Bons Costumes 
2009, Br-3 - A Peça 
2009, Br-3 Documentário 
2009, Bruno 
2009, Budapeste 
2009, Caramelo 
2009, Caro Sr. Horten 
2009, Casamento Silencioso 
2009, Che 
2009, Che 2 - A Guerrilha 
2009, Cidadão Boilesen 
2009, Cinderelas, Lobos E Um Príncipe Encantado 
2009, Cine Cocoricó: As Aventuras Na Cidade 
2009, Cinzas Do Passado Redux 
2009, Coco Antes De Chanel 
2009, Código De Conduta 
2009, Confissões De Uma Garota De Programa 
