Ano de exibição;Título da Obra;Gênero;Empresa Distribuidora
2009;2012;Ficção;Sony
2009;A Montanha Enfeitiçada;Ficção;Sony
2009;A Pantera Cor De Rosa 2;Ficção;Sony
2009;A Princesa E O Sapo;Animação;Sony
2009;A Proposta;Ficção;Sony
2009;A Verdade Nua E Crua;Ficção;Sony
2009;Anjos Da Noite - A Rebelião;Ficção;Sony
2009;Anjos E Demônios;Ficção;Sony
2009;Besouro;Ficção;Sony
2009;Bons Costumes;Ficção;Sony
2009;Bruno;Ficção;Sony
2009;Delírios De Consumo De Becky Bloom;Ficção;Sony
2009;Distrito 9;Ficção;Sony
2009;Dúvida;Ficção;Sony
2009;Força G;Ficção;Sony
2009;Hannah Montana - O Filme;Ficção;Sony
2009;Jogos Mortais 6;Ficção;Sony
2009;Jonas Brothers 3D: O Show;Documentário;Sony
2009;Julie E Julia;Ficção;Sony
2009;Michael Jackson This Is It;Documentário;Sony
2009;O Casamento De Rachel;Ficção;Sony
2009;O Exterminador Do Futuro: A Salvação;Ficção;Sony
2009;O Menino Da Porteira;Ficção;Sony
2009;O Poder Do Soul;Documentário;Sony
2009;O Sequestro Do Metrô 123;Ficção;Sony
2009;Os Fantasmas De Scrooge;Animação;Sony
2009;Perdido Pra Cachorro;Ficção;Sony
2009;Quarentena;Ficção;Sony
2009;Rio Congelado;Ficção;Sony
2009;Substitutos;Ficção;Sony
2009;Tá Chovendo Hamburger;Animação;Sony
2009;Terra;Documentário;Sony
2009;The Spirit - O Filme;Ficção;Sony
2009;Trama Internacional;Ficção;Sony
2009;Um Faz De Conta Que Acontece;Ficção;Sony
2009;Up - Altas Aventuras;Animação;Sony
2009;Valsa Com Bashir;Animação;Sony
2010;A Rede Social;Ficção;Sony
2010;A Todo Volume;Documentário;Sony
2010;A Última Música;Ficção;Sony
2010;Alice No País Das Maravilhas;Ficção;Sony
2010;Caçador De Recompensas;Ficção;Sony
2010;Cadê Os Morgans;Ficção;Sony
2010;Comer, Rezar E Amar;Ficção;Sony
2010;Educação;Ficção;Sony
2010;Gente Grande;Ficção;Sony
2010;High School Musical - O Desafio;Ficção;Sony
2010;Homens Que Encaravam Cabras;Ficção;Sony
2010;Karate Kid;Ficção;Sony
2010;Machete;Ficção;Sony
2010;Micmacs - Um Plano Complicado;Ficção;Sony
2010;Nine;Ficção;Sony
2010;O Aprendiz De Feiticeiro;Ficção;Sony
2010;O Bem Amado;Ficção;Sony
2010;O Livro De Eli;Ficção;Sony
2010;O Mundo Imaginário Do Dr. Parnassus;Ficção;Sony
2010;O Profeta;Ficção;Sony
2010;Os Outros Caras;Ficção;Sony
2010;Plano B;Ficção;Sony
2010;Príncipe Da Pérsia: As Areias Do Tempo;Ficção;Sony
2010;Querido John;Ficção;Sony
2010;Quincas Berro D'Água;Ficção;Sony
2010;Resident Evil 4: Recomeço;Ficção;Sony
2010;Salt;Ficção;Sony
2010;Sentimento De Culpa;Ficção;Sony
2010;Surpresa Em Dobro;Ficção;Sony
2010;Toy Story 3;Animação;Sony
2010;Tron - O Legado;Ficção;Sony
2010;Vida Sobre Rodas;Documentário;Sony
2010;Zumbilândia;Ficção;Sony
2011;A Última Estação (2011);Ficção;Sony
2011;Amizade Colorida;Ficção;Sony
2011;Besouro Verde;Ficção;Sony
2011;Broder;Ficção;Sony
2011;Burlesque;Ficção;Sony
2011;Enrolados;Animação;Sony
2011;Esposa De Mentirinha;Ficção;Sony
2011;Inquietos;Ficção;Sony
2011;Invasão Do Mundo: Batalha De Los Angeles;Ficção;Sony
2011;O Guarda;Ficção;Sony
2011;O Turista;Ficção;Sony
2011;O Zelador Animal;Ficção;Sony
2011;Operação Presente;Animação;Sony
2011;Os Smurfs;Animação;Sony
2011;Padre;Ficção;Sony
2011;Professora Sem Classe;Ficção;Sony
2011;Trabalho Interno;Documentário;Sony
2012;007 – Operação Skyfall;Ficção;Sony
2012;A Música Segundo Tom Jobim;Documentário;Sony
2012;Anjos Da Lei;Ficção;Sony
2012;Anjos Da Noite – O Despertar;Ficção;Sony
2012;As Aventuras De Tintim: O Segredo Do Licorne;Animação;Sony
2012;Ataque Ao Prédio;Ficção;Sony
2012;Cada Um Tem A Gêmea Que Merece;Ficção;Sony
2012;Celeste E Jesse Para Sempre;Ficção;Sony
2012;Homens De Preto 3;Ficção;Sony
2012;Hotel Transilvânia;Animação;Sony
2012;Millennium - Homens Que Não Amavam As Mulheres;Ficção;Sony
2012;Nota De Rodapé;Ficção;Sony
2012;O Abrigo;Ficção;Sony
2012;O Espetacular Homem-Aranha;Ficção;Sony
2012;O Homem Que Mudou O Jogo;Ficção;Sony
2012;O Vingador Do Futuro;Ficção;Sony
2012;Para Sempre;Ficção;Sony
2012;Piratas Pirados!;Animação;Sony
2012;Resident Evil: Retribuição;Ficção;Sony
2013;A Morte Do Demônio;Ficção;Sony
2013;Capitão Phillips;Ficção;Sony
2013;Carrie, A Estranha;Ficção;Sony
2013;Depois Da Terra;Ficção;Sony
2013;Django Livre;Ficção;Sony
2013;É O Fim;Ficção;Sony
2013;Elysium;Ficção;Sony
2013;Ferrugem E Osso;Ficção;Sony
2013;Gente Grande 2;Ficção;Sony
2013;O Ataque;Ficção;Sony
2013;One Direction: This Is Us;Documentário;Sony
2013;Os Smurfs 2;Ficção;Sony
2013;Sobrenatural: Capítulo 2;Ficção;Sony
2013;Tá Chovendo Hambúrguer 2;Animação;Sony
2014;Anjos Da Lei 2;Ficção;Sony
2014;Confissões De Adolescente - O Filme;Ficção;Sony
2014;Ela;Ficção;Sony
2014;Livrai-Nos Do Mal;Ficção;Sony
2014;Não Pare Na Pista: A Melhor História De Paulo Coelho;Ficção;Sony
2014;Nebraska;Ficção;Sony
2014;O Céu É De Verdade;Ficção;Sony
2014;O Espetacular Homem Aranha 2;Ficção;Sony
2014;O Protetor;Ficção;Sony
2014;Os Boxtrolls;Animação;Sony
2014;Robocop;Ficção;Sony
2014;Sex Tape: Perdido Na Nuvem;Ficção;Sony
2014;Trapaça;Ficção;Sony
2015;007 Contra Spectre;Ficção;Sony
2015;A Entrevista;Ficção;Sony
2015;A Travessia;Ficção;Sony
2015;Annie;Ficção;Sony
2015;Chappie;Ficção;Sony
2015;Chico - Artista Brasileiro;Documentário;Sony
2015;Corações De Ferro;Ficção;Sony
2015;Foxcatcher - Uma História Que Chocou O Mundo;Ficção;Sony
2015;Goosebumps - Monstros E Arrepios;Ficção;Sony
2015;Hotel Transilvânia 2;Animação;Sony
2015;Pixels;Ficção;Sony
2015;Ricki And The Flash - De Volta Pra Casa;Ficção;Sony
2015;Sobrenatural - A Origem;Ficção;Sony
2015;Whiplash - Em Busca Da Perfeição;Ficção;Sony
2016;A 5ª Onda;Ficção;Sony
2016;A Chegada;Ficção;Sony
2016;A Senhora Da Van;Ficção;Sony
2016;Águas Rasas;Ficção;Sony
2016;Angry Birds - O Filme;Animação;Sony
2016;Anjos Da Noite - Guerras De Sangue;Ficção;Sony
2016;Elle;Ficção;Sony
2016;Festa Da Salsicha;Animação;Sony
2016;Indignação;Ficção;Sony
2016;Inferno;Ficção;Sony
2016;Jogo Do Dinheiro;Ficção;Sony
2016;Milagres Do Paraíso;Ficção;Sony
2016;O Filho De Saul;Ficção;Sony
2016;O Filho Eterno;Ficção;Sony
2016;O Homem Nas Trevas;Ficção;Sony
2016;O Plano De Maggie;Ficção;Sony
2016;Orgulho E Preconceito E Zumbis;Ficção;Sony
2016;Ressurreição;Ficção;Sony
2016;Rock Em Cabul;Ficção;Sony
2016;Sete Homens E Um Destino;Ficção;Sony
2016;Spotlight - Segredos Revelados;Ficção;Sony
2016;Sr. Holmes;Ficção;Sony
2016;Um Homem Entre Gigantes;Ficção;Sony
2017;A Estrela De Belém;Animação;Sony
2017;A Tartaruga Vermelha;Animação;Sony
2017;A Torre Negra;Ficção;Sony
2017;Além Da Morte;Ficção;Sony
2017;Blade Runner 2049;Ficção;Sony
2017;Em Ritmo De Fuga;Ficção;Sony
2017;Emoji - O Filme;Animação;Sony
2017;Homem-Aranha: De Volta Ao Lar;Ficção;Sony
2017;João, O Maestro;Ficção;Sony
2017;Manchester À Beira-Mar;Ficção;Sony
2017;Mulheres Do Século 20;Ficção;Sony
2017;Negação;Ficção;Sony
2017;Os Smurfs E A Vila Perdida;Animação;Sony
2017;Passageiros (2017);Ficção;Sony
2017;Professor Marston E As Mulheres-Maravilhas;Ficção;Sony
2017;Resident Evil 6 - O Capítulo Final;Ficção;Sony
2017;T2: Trainspotting;Ficção;Sony
2017;Toni Erdmann;Ficção;Sony
2017;Vida;Ficção;Sony
2018;Alfa;Ficção;Sony
2018;Buscando...;Ficção;Sony
2018;Cadáver;Ficção;Sony
2018;Desobediência;Ficção;Sony
2018;Ella E John;Ficção;Sony
2018;Goosebumps: Halloween Assombrado;Ficção;Sony
2018;Hotel Transilvânia 3: Férias Monstruosas;Animação;Sony
2018;Jumanji: Bem-Vindo À Selva;Ficção;Sony
2018;Limites;Ficção;Sony
2018;Me Chame Pelo Seu Nome;Ficção;Sony
2018;Millennium - A Garota Na Teia De Aranha;Ficção;Sony
2018;O Protetor 2;Ficção;Sony
2018;O Quebra-Cabeça;Ficção;Sony
2018;Paulo - Apóstolo De Cristo;Ficção;Sony
2018;Pedro Coelho;Animação;Sony
2018;Rasga Coração;Ficção;Sony
