Ano de exibição;Título da Obra;Gênero
2009;9 - A Salvação;Animação
2009;A Era Do Gelo 3;Animação
2009;A Festa Do Garfield;Animação
2009;A Princesa E O Sapo;Animação
2009;Barry & A Banda Das Minhocas;Animação
2009;Coraline E O Mundo Secreto;Animação
2009;De Profundis;Animação
2009;Donkey Xote;Animação
2009;Monstros Vs Alienígenas;Animação
2009;O Corajoso Ratinho Despereaux;Animação
2009;O Fantástico Senhor Raposo;Animação
2009;O Golfinho - A História De Um Sonhador;Animação
2009;O Grilo Feliz E Os Insetos Gigantes;Animação
2009;Os Fantasmas De Scrooge;Animação
2009;Planeta 51;Animação
2009;Romeu: O Vira-Lata Atrapalhado;Animação
2009;Tá Chovendo Hamburger;Animação
2009;Tô De Férias;Animação
2009;Up - Altas Aventuras;Animação
2009;Valsa Com Bashir;Animação
2010;A Lenda Dos Guardiões;Animação
2010;Alvin E Os Esquilos 2;Animação
2010;Astro Boy;Animação
2010;Batalha Por T.E.R.A.;Animação
2010;Como Treinar Seu Dragão;Animação
2010;Garfield 3D - Um Super Herói Animal;Animação
2010;Lissi E O Reino Dos Birutas;Animação
2010;Mary E Max - Uma Amizade Diferente;Animação
2010;Megamente;Animação
2010;Meu Malvado Favorito;Animação
2010;O Mundo Encantado De Gigi;Animação
2010;Ponyo – Uma Amizade Que Veio Do Mar;Animação
2010;Shrek Para Sempre;Animação
2010;Toy Story 3;Animação
2011;Animais Unidos Jamais Serão Vencidos;Animação
2011;As Aventuras De Sammy;Animação
2011;Brasil Animado 3D;Animação
2011;Carros 2;Animação
2011;Deu A Louca Na Chapeuzinho 2;Animação
2011;Enrolados;Animação
2011;Gato De Botas;Animação
2011;Gnomeu E Julieta;Animação
2011;Happy Feet 2;Animação
2011;Hop;Animação
2011;Kung Fu Panda 2;Animação
2011;Manda-Chuva O Filme;Animação
2011;O Mágico;Animação
2011;Operação Presente;Animação
2011;Os Smurfs;Animação
2011;Rango;Animação
2011;Rio;Animação
2011;Um Gato Em Paris;Animação
2011;Winnie The Pooh;Animação
2011;Zé Colméia - O Filme;Animação
2012;A Era Do Gelo 4;Animação
2012;A Origem Dos Guardiões;Animação
2012;Alvin E Os Esquilos 3;Animação
2012;As Aventuras De Tintim: O Segredo Do Licorne;Animação
2012;Brichos Ii - A Floresta É Nossa;Animação
2012;Frankenweenie;Animação
2012;Hotel Transilvânia;Animação
2012;Madagascar 3: Os Procurados;Animação
2012;O Gato Do Rabino;Animação
2012;O Lorax - Em Busca Da Trúfula Perdida;Animação
2012;O Mar Não Está Pra Peixe: Tubarões À Vista;Animação
2012;Outback- Uma Galera Animal;Animação
2012;Paranorman;Animação
2012;Peixonauta - Agente Secreto Da O.S.T.R.A;Animação
2012;Piratas Pirados!;Animação
2012;Tinker Bell E O Segredo Das Fadas;Animação
2012;Valente;Animação
2013;A Fuga Do Planeta Terra;Animação
2013;As Aventuras De Tadeo;Animação
2013;Aviões;Animação
2013;Bons De Bico;Animação
2013;Contos Da Noite;Animação
2013;Detona Ralph;Animação
2013;Dragon Ball Z – A Batalha Dos Deuses;Animação
2013;Meu Malvado Favorito 2;Animação
2013;Minhocas;Animação
2013;O Reino Gelado;Animação
2013;Os Croods;Animação
2013;Reino Escondido;Animação
2013;Sammy: A Grande Fuga;Animação
2013;Tá Chovendo Hambúrguer 2;Animação
2013;Time Show De Bola;Animação
2013;Titeuf;Animação
2013;Turbo;Animação
2013;Uma História De Amor E Fúria;Animação
2013;Universidade Monstros;Animação
2013;Zarafa;Animação
2014;A Lenda De Oz;Animação
2014;A Mansão Mágica;Animação
2014;As Aventuras De Peabody E Sherman;Animação
2014;As Aventuras Do Avião Vermelho;Animação
2014;Até Que A Sbórnia Nos Separe;Animação
2014;Aviões - Heróis Do Fogo Ao Resgate;Animação
2014;Caminhando Com Dinossauros - O Filme;Animação
